,Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
00AA,City of London,!,!,#,#,#,#,#,762.4,#,#,#,#,#,#,#,#,909.4,#,#,#,#,#,#
00AB,Barking and Dagenham,383.3,354.9,360.1,375.1,417.6,446.7,449.9,448.8,429.3,452.1,450.0,441.2,422.5,436.6,462.2,461.0,479.1,471.0,486.7,508.7,536.6,558.4,612.9
00AC,Barnet,427.4,450.1,453.3,442.3,466.1,460.0,502.2,528.1,501.6,498.3,503.1,517.5,479.1,491.0,485.6,522.6,536.6,536.4,538.8,574.9,624.3,633.1,714.6
00AD,Bexley,405.0,431.9,438.1,452.4,443.4,469.8,483.9,486.3,518.1,505.1,509.1,497.9,512.6,491.1,487.0,513.0,512.7,553.4,566.5,586.6,634.4,680.2,694.4
00AE,Brent,368.4,359.8,395.5,394.7,398.7,421.6,437.0,439.1,423.1,414.9,442.0,441.8,441.8,457.6,467.0,471.0,479.9,524.0,531.8,555.7,556.6,634.6,646.2
00AF,Bromley,440.1,449.2,461.2,464.8,479.5,506.3,546.0,545.6,527.2,551.7,566.6,581.1,578.5,583.8,584.3,608.0,632.7,638.3,613.2,666.6,704.2,718.0,818.9
00AG,Camden,470.8,491.1,507.9,541.0,552.2,592.6,614.6,621.1,583.0,612.0,612.0,629.5,613.1,588.1,632.5,614.3,634.4,662.0,623.0,695.0,699.2,732.1,766.6
00AH,Croydon,405.3,406.4,413.3,421.0,441.6,454.0,481.6,496.0,515.5,481.7,493.2,481.4,499.0,492.2,512.3,538.5,550.6,561.7,565.1,613.3,667.0,678.0,721.3
00AJ,Ealing,431.5,448.5,444.2,437.8,452.0,465.3,504.1,498.9,494.5,486.6,495.0,502.1,498.4,495.7,498.3,517.2,524.3,532.2,566.8,582.6,597.4,623.1,684.8
00AK,Enfield,363.1,377.1,386.0,408.1,409.6,448.7,424.9,460.2,439.4,475.8,455.4,450.3,462.8,473.6,463.9,479.8,464.8,490.1,492.6,521.5,562.0,598.2,646.2
00AL,Greenwich,401.3,430.4,441.8,405.0,456.3,456.2,480.8,513.2,488.7,488.0,470.5,516.5,509.1,532.5,539.3,553.0,566.0,579.5,573.1,618.3,657.4,719.4,749.6
00AM,Hackney,387.1,395.2,411.1,432.1,428.8,451.1,472.6,503.7,501.3,517.4,511.4,519.0,513.0,534.5,527.8,558.1,555.4,574.9,574.9,576.8,632.8,667.7,762.5
00AN,Hammersmith and Fulham,492.8,498.3,512.0,490.7,545.7,546.2,584.8,585.1,596.9,594.1,613.3,610.7,609.9,646.7,641.9,651.1,682.0,728.0,713.1,727.0,732.6,790.1,798.5
00AP,Haringey,384.9,429.4,437.3,438.3,455.0,462.9,498.4,489.3,495.7,471.8,489.1,464.6,467.7,500.0,481.9,525.3,551.4,547.6,567.8,546.0,604.3,668.4,727.8
00AQ,Harrow,378.1,417.1,407.5,430.9,459.9,460.7,479.1,494.3,506.1,487.7,471.7,478.9,492.3,505.1,522.8,543.4,534.9,581.9,570.5,580.2,619.6,625.2,669.2
00AR,Havering,385.1,413.4,449.3,463.9,424.9,455.8,506.4,485.7,493.7,505.3,500.9,489.7,499.1,517.5,532.6,534.2,544.8,568.5,574.9,585.7,612.9,670.7,710.8
00AS,Hillingdon,396.3,414.4,431.5,431.3,439.3,469.6,479.1,480.0,499.8,497.4,509.7,522.2,492.5,498.8,499.8,500.4,531.7,545.9,560.9,594.8,629.6,677.5,689.9
00AT,Hounslow,388.6,395.6,400.1,413.9,432.6,453.6,435.0,469.3,479.0,473.2,479.1,479.1,463.5,495.6,500.9,517.0,533.6,547.6,511.8,567.2,604.1,637.9,659.3
00AU,Islington,465.0,472.0,499.0,532.5,503.7,517.5,566.7,588.2,599.0,598.5,605.1,606.0,613.5,603.7,613.3,646.1,687.7,699.1,690.1,670.7,701.4,766.6,811.2
00AW,Kensington and Chelsea,601.5,612.7,691.6,733.0,670.9,689.9,774.7,805.2,791.5,793.9,655.0,726.7,641.3,632.4,651.6,784.4,670.6,763.7,802.0,763.6,719.1,855.9,810.1
00AX,Kingston upon Thames,435.7,441.5,460.7,479.0,499.8,527.4,516.7,566.2,544.4,579.8,601.1,604.2,556.5,574.6,566.7,579.9,629.7,628.0,617.3,667.9,668.1,684.3,727.4
00AY,Lambeth,404.3,425.5,446.7,460.3,455.6,490.7,494.5,522.4,574.9,536.7,574.8,536.6,547.0,542.9,551.7,594.6,617.1,634.8,670.8,681.2,703.0,774.1,797.4
00AZ,Lewisham,394.9,429.6,425.1,431.8,431.4,436.4,446.4,486.9,492.7,473.2,499.6,525.5,518.5,517.5,520.6,535.2,551.2,552.0,574.9,574.9,608.4,662.3,706.4
00BA,Merton,436.3,439.4,442.5,493.9,474.4,511.3,526.0,529.7,531.5,536.9,538.4,527.0,542.9,548.1,585.3,573.0,594.1,578.9,578.3,592.1,584.4,745.3,721.6
00BB,Newham,338.2,343.4,371.0,383.2,390.9,390.8,403.0,421.6,422.4,382.5,369.8,387.6,393.7,421.6,436.7,471.3,475.9,517.5,534.4,574.9,574.9,633.9,635.9
00BC,Redbridge,402.5,433.9,439.8,432.7,466.2,480.1,526.9,518.5,506.1,479.5,526.7,503.9,517.6,533.1,521.8,546.8,555.8,565.6,581.6,579.3,581.7,632.7,669
00BD,Richmond upon Thames,564.9,567.8,595.6,584.7,583.0,578.2,642.5,617.7,668.7,665.0,670.8,670.5,654.2,648.0,688.8,665.9,677.6,721.1,702.9,704.5,709.3,749.5,824
00BE,Southwark,397.6,423.8,412.6,430.4,459.9,487.8,493.2,526.7,521.2,530.5,536.6,524.4,529.0,557.0,543.0,587.1,589.4,628.0,620.9,637.8,672.3,731.5,788.6
00BF,Sutton,410.9,421.7,426.5,437.0,460.0,475.7,505.3,503.2,495.3,497.9,517.5,518.0,508.3,498.3,532.9,515.2,548.7,549.0,543.3,576.9,577.3,635.1,728.7
00BG,Tower Hamlets,427.2,450.4,481.6,479.1,472.5,531.9,548.1,556.2,547.1,542.3,566.8,575.1,574.9,554.9,557.9,592.0,627.6,688.9,665.0,685.2,725.2,785.8,766.5
00BH,Waltham Forest,403.8,428.7,433.2,415.5,427.7,445.4,466.7,476.2,475.7,464.4,472.6,441.8,444.8,476.3,483.4,499.4,529.7,574.9,596.8,629.6,647.0,683.5,717.7
00BJ,Wandsworth,502.1,502.5,526.8,538.9,557.2,572.4,618.8,631.8,643.0,651.6,632.3,644.1,661.1,670.1,684.7,681.2,695.7,720.9,755.2,746.0,835.8,844.7,843.3
00BK,Westminster,480.0,504.7,549.0,574.0,598.1,625.5,670.8,672.2,718.7,670.8,701.0,625.0,659.6,656.0,667.5,730.8,757.1,703.9,701.1,771.1,738.5,767.5,843.3
